DateKey;Date;DayOfWeek;DayOfMonth;Month;MonthNumber;Quarter;Year
20130727;2013-07-27;Saturday;27;July;7;Q3;2013
20130728;2013-07-28;Sunday;28;July;7;Q3;2013
20130729;2013-07-29;Monday;29;July;7;Q3;2013
20130730;2013-07-30;Tuesday;30;July;7;Q3;2013
20130731;2013-07-31;Wednesday;31;July;7;Q3;2013
20130801;2013-08-01;Thursday;1;August;8;Q3;2013
20130802;2013-08-02;Friday;2;August;8;Q3;2013
20130803;2013-08-03;Saturday;3;August;8;Q3;2013
20130804;2013-08-04;Sunday;4;August;8;Q3;2013
20130805;2013-08-05;Monday;5;August;8;Q3;2013
20130806;2013-08-06;Tuesday;6;August;8;Q3;2013
20130807;2013-08-07;Wednesday;7;August;8;Q3;2013
20130808;2013-08-08;Thursday;8;August;8;Q3;2013
20130809;2013-08-09;Friday;9;August;8;Q3;2013
20130810;2013-08-10;Saturday;10;August;8;Q3;2013
20130811;2013-08-11;Sunday;11;August;8;Q3;2013
20130812;2013-08-12;Monday;12;August;8;Q3;2013
20130813;2013-08-13;Tuesday;13;August;8;Q3;2013
20130814;2013-08-14;Wednesday;14;August;8;Q3;2013
20130815;2013-08-15;Thursday;15;August;8;Q3;2013
20130816;2013-08-16;Friday;16;August;8;Q3;2013
20130817;2013-08-17;Saturday;17;August;8;Q3;2013
20130818;2013-08-18;Sunday;18;August;8;Q3;2013
20130819;2013-08-19;Monday;19;August;8;Q3;2013
20130820;2013-08-20;Tuesday;20;August;8;Q3;2013
20130821;2013-08-21;Wednesday;21;August;8;Q3;2013
20130822;2013-08-22;Thursday;22;August;8;Q3;2013
20130823;2013-08-23;Friday;23;August;8;Q3;2013
20130824;2013-08-24;Saturday;24;August;8;Q3;2013
20130825;2013-08-25;Sunday;25;August;8;Q3;2013
20130826;2013-08-26;Monday;26;August;8;Q3;2013
20130827;2013-08-27;Tuesday;27;August;8;Q3;2013
20130828;2013-08-28;Wednesday;28;August;8;Q3;2013
20130829;2013-08-29;Thursday;29;August;8;Q3;2013
20130830;2013-08-30;Friday;30;August;8;Q3;2013
20130831;2013-08-31;Saturday;31;August;8;Q3;2013
20130901;2013-09-01;Sunday;1;September;9;Q3;2013
20130902;2013-09-02;Monday;2;September;9;Q3;2013
20130903;2013-09-03;Tuesday;3;September;9;Q3;2013
20130904;2013-09-04;Wednesday;4;September;9;Q3;2013
20130905;2013-09-05;Thursday;5;September;9;Q3;2013
20130906;2013-09-06;Friday;6;September;9;Q3;2013
20130907;2013-09-07;Saturday;7;September;9;Q3;2013
20130908;2013-09-08;Sunday;8;September;9;Q3;2013
20130909;2013-09-09;Monday;9;September;9;Q3;2013
20130910;2013-09-10;Tuesday;10;September;9;Q3;2013
20130911;2013-09-11;Wednesday;11;September;9;Q3;2013
20130912;2013-09-12;Thursday;12;September;9;Q3;2013
20130913;2013-09-13;Friday;13;September;9;Q3;2013
20130914;2013-09-14;Saturday;14;September;9;Q3;2013
20130915;2013-09-15;Sunday;15;September;9;Q3;2013
20130916;2013-09-16;Monday;16;September;9;Q3;2013
20130917;2013-09-17;Tuesday;17;September;9;Q3;2013
20130918;2013-09-18;Wednesday;18;September;9;Q3;2013
20130919;2013-09-19;Thursday;19;September;9;Q3;2013
20130920;2013-09-20;Friday;20;September;9;Q3;2013
20130921;2013-09-21;Saturday;21;September;9;Q3;2013
20130922;2013-09-22;Sunday;22;September;9;Q3;2013
20130923;2013-09-23;Monday;23;September;9;Q3;2013
20130924;2013-09-24;Tuesday;24;September;9;Q3;2013
20130925;2013-09-25;Wednesday;25;September;9;Q3;2013
20130926;2013-09-26;Thursday;26;September;9;Q3;2013
20130927;2013-09-27;Friday;27;September;9;Q3;2013
20130928;2013-09-28;Saturday;28;September;9;Q3;2013
20130929;2013-09-29;Sunday;29;September;9;Q3;2013
20130930;2013-09-30;Monday;30;September;9;Q3;2013
20131001;2013-10-01;Tuesday;1;October;10;Q4;2013
20131002;2013-10-02;Wednesday;2;October;10;Q4;2013
20131003;2013-10-03;Thursday;3;October;10;Q4;2013
20131004;2013-10-04;Friday;4;October;10;Q4;2013
20131005;2013-10-05;Saturday;5;October;10;Q4;2013
20131006;2013-10-06;Sunday;6;October;10;Q4;2013
20131007;2013-10-07;Monday;7;October;10;Q4;2013
20131008;2013-10-08;Tuesday;8;October;10;Q4;2013
20131009;2013-10-09;Wednesday;9;October;10;Q4;2013
20131010;2013-10-10;Thursday;10;October;10;Q4;2013
20131011;2013-10-11;Friday;11;October;10;Q4;2013
20131012;2013-10-12;Saturday;12;October;10;Q4;2013
20131013;2013-10-13;Sunday;13;October;10;Q4;2013
20131014;2013-10-14;Monday;14;October;10;Q4;2013
20131015;2013-10-15;Tuesday;15;October;10;Q4;2013
20131016;2013-10-16;Wednesday;16;October;10;Q4;2013
20131017;2013-10-17;Thursday;17;October;10;Q4;2013
20131018;2013-10-18;Friday;18;October;10;Q4;2013
20131019;2013-10-19;Saturday;19;October;10;Q4;2013
20131020;2013-10-20;Sunday;20;October;10;Q4;2013
20131021;2013-10-21;Monday;21;October;10;Q4;2013
20131022;2013-10-22;Tuesday;22;October;10;Q4;2013
20131023;2013-10-23;Wednesday;23;October;10;Q4;2013
20131024;2013-10-24;Thursday;24;October;10;Q4;2013
20131025;2013-10-25;Friday;25;October;10;Q4;2013
20131026;2013-10-26;Saturday;26;October;10;Q4;2013
20131027;2013-10-27;Sunday;27;October;10;Q4;2013
20131028;2013-10-28;Monday;28;October;10;Q4;2013
20131029;2013-10-29;Tuesday;29;October;10;Q4;2013
20131030;2013-10-30;Wednesday;30;October;10;Q4;2013
20131031;2013-10-31;Thursday;31;October;10;Q4;2013
20131101;2013-11-01;Friday;1;November;11;Q4;2013
20131102;2013-11-02;Saturday;2;November;11;Q4;2013
20131103;2013-11-03;Sunday;3;November;11;Q4;2013
20131104;2013-11-04;Monday;4;November;11;Q4;2013
20131105;2013-11-05;Tuesday;5;November;11;Q4;2013
20131106;2013-11-06;Wednesday;6;November;11;Q4;2013
20131107;2013-11-07;Thursday;7;November;11;Q4;2013
20131108;2013-11-08;Friday;8;November;11;Q4;2013
20131109;2013-11-09;Saturday;9;November;11;Q4;2013
20131110;2013-11-10;Sunday;10;November;11;Q4;2013
20131111;2013-11-11;Monday;11;November;11;Q4;2013
20131112;2013-11-12;Tuesday;12;November;11;Q4;2013
20131113;2013-11-13;Wednesday;13;November;11;Q4;2013
20131114;2013-11-14;Thursday;14;November;11;Q4;2013
20131115;2013-11-15;Friday;15;November;11;Q4;2013
20131116;2013-11-16;Saturday;16;November;11;Q4;2013
20131117;2013-11-17;Sunday;17;November;11;Q4;2013
20131118;2013-11-18;Monday;18;November;11;Q4;2013
20131119;2013-11-19;Tuesday;19;November;11;Q4;2013
20131120;2013-11-20;Wednesday;20;November;11;Q4;2013
20131121;2013-11-21;Thursday;21;November;11;Q4;2013
20131122;2013-11-22;Friday;22;November;11;Q4;2013
20131123;2013-11-23;Saturday;23;November;11;Q4;2013
20131124;2013-11-24;Sunday;24;November;11;Q4;2013
20131125;2013-11-25;Monday;25;November;11;Q4;2013
20131126;2013-11-26;Tuesday;26;November;11;Q4;2013
20131127;2013-11-27;Wednesday;27;November;11;Q4;2013
20131128;2013-11-28;Thursday;28;November;11;Q4;2013
20131129;2013-11-29;Friday;29;November;11;Q4;2013
20131130;2013-11-30;Saturday;30;November;11;Q4;2013
20131201;2013-12-01;Sunday;1;December;12;Q4;2013
20131202;2013-12-02;Monday;2;December;12;Q4;2013
20131203;2013-12-03;Tuesday;3;December;12;Q4;2013
20131204;2013-12-04;Wednesday;4;December;12;Q4;2013
20131205;2013-12-05;Thursday;5;December;12;Q4;2013
20131206;2013-12-06;Friday;6;December;12;Q4;2013
20131207;2013-12-07;Saturday;7;December;12;Q4;2013
20131208;2013-12-08;Sunday;8;December;12;Q4;2013
20131209;2013-12-09;Monday;9;December;12;Q4;2013
20131210;2013-12-10;Tuesday;10;December;12;Q4;2013
20131211;2013-12-11;Wednesday;11;December;12;Q4;2013
20131212;2013-12-12;Thursday;12;December;12;Q4;2013
20131213;2013-12-13;Friday;13;December;12;Q4;2013
20131214;2013-12-14;Saturday;14;December;12;Q4;2013
20131215;2013-12-15;Sunday;15;December;12;Q4;2013
20131216;2013-12-16;Monday;16;December;12;Q4;2013
20131217;2013-12-17;Tuesday;17;December;12;Q4;2013
20131218;2013-12-18;Wednesday;18;December;12;Q4;2013
20131219;2013-12-19;Thursday;19;December;12;Q4;2013
20131220;2013-12-20;Friday;20;December;12;Q4;2013
20131221;2013-12-21;Saturday;21;December;12;Q4;2013
20131222;2013-12-22;Sunday;22;December;12;Q4;2013
20131223;2013-12-23;Monday;23;December;12;Q4;2013
20131224;2013-12-24;Tuesday;24;December;12;Q4;2013
20131225;2013-12-25;Wednesday;25;December;12;Q4;2013
20131226;2013-12-26;Thursday;26;December;12;Q4;2013
20131227;2013-12-27;Friday;27;December;12;Q4;2013
20131228;2013-12-28;Saturday;28;December;12;Q4;2013
20131229;2013-12-29;Sunday;29;December;12;Q4;2013
20131230;2013-12-30;Monday;30;December;12;Q4;2013
20131231;2013-12-31;Tuesday;31;December;12;Q4;2013
